type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,JP-OV,1H,JP-OV_1H,ia-retweet-pol.el,16,18470,48053,0.03,23,0,-1,0.00117121,-0.998829,1.90235,0.874146,2.7765,0
RRR,JP-OV,1H,JP-OV_1H,bio-DR-CX.el,16,3289,84940,0.01,4,0,0.0104889,0.000685638,0.0111745,0.100372,1.32117,1.42155,26105
RRR,JP-OV,BF,JP-OV_BF,ted_AB.el,16,10606,347610,0.003,1,32,0.0314682,0.00643854,0.0379068,0.242752,5.38503,5.62778,131221
RRR,JP-OV,BF,JP-OV_BF,C2000-5.el,16,2001,999836,0.0001,1,32,0.0778683,0.0240033,0.101872,0.0457993,15.2716,15.3174,0
RRR,JP-OV,BF,JP-OV_BF,ca-dblp-2010.el,16,226414,716460,1,1,238,0.173749,0.0198737,0.193623,10.5803,12.6597,23.24,305077
RRR,JP-OV,1H,JP-OV_1H,bio-HS-LC.el,16,4227,39484,3e-05,1,0,-1,0.00016637,-0.999834,0.0644989,0.634727,0.699226,0
RRR,JP-OV,1H,JP-OV_1H,rim.el,16,22561,677576,3e-05,1,0,-1,0.000512541,-0.999487,0.344254,10.5111,10.8554,0
RRR,JP-OV,1H,JP-OV_1H,insecta-ant-colony6-day02.el,16,165,10272,0.1,15,0,-1,0.000990988,-0.999009,0.0119591,0.157997,0.169956,0
RRR,JP-OV,1H,JP-OV_1H,ca-AstroPh.el,16,17904,196972,0.0003,1,0,-1,0.000509015,-0.999491,0.273193,3.14215,3.41534,0
RRR,JP-OV,1H,JP-OV_1H,CO.el,16,221120,782144,3e-05,1,0,-1,0.00180644,-0.998194,3.37402,13.6216,16.9956,0
RRR,JP-OV,1H,JP-OV_1H,qc2534.el,16,2535,230413,0.01,1,0,-1,0.000571519,-0.999428,0.0483513,3.53516,3.58352,0
RRR,JP-OV,1H,JP-OV_1H,bn-mouse_brain_1.el,16,213,16089,0.3,61,0,-1,0.00550436,-0.994496,0.0528145,0.247124,0.299938,0
RRR,JP-OV,BF,JP-OV_BF,C2000-5.el,16,2001,999836,2,1,2148,0.0764843,0.0930039,0.169488,0.549591,15.2716,15.8211,355807
RRR,JP-OV,BF,JP-OV_BF,ca-dblp-2012.el,16,317081,1049866,0.0003,1,32,0.223717,0.022978,0.246695,7.25741,18.4388,25.6962,440980
RRR,JP-OV,BF,JP-OV_BF,bio-CE-GN.el,16,2220,53683,0.0001,1,32,0.00517148,0.00181883,0.00699031,0.0508118,0.836075,0.886887,8389
RRR,JP-OV,BF,JP-OV_BF,rim.el,16,22561,677576,0.3,1,33,0.0621845,0.0120822,0.0742667,0.51638,10.5111,11.0275,437984
RRR,JP-OV,BF,JP-OV_BF,insecta-ant-colony2-day16.el,16,132,4041,1,1,108,0.000410624,0.000755658,0.00116628,0.00415421,0.0626678,0.0668221,3850
RRR,JP-OV,BF,JP-OV_BF,bio-DR-CX.el,16,3289,84940,3e-05,1,32,0.0080574,0.0030644,0.0111218,0.0752792,1.32117,1.39645,9909
RRR,JP-OV,1H,JP-OV_1H,ca-AstroPh.el,16,17904,196972,0.3,151,0,-1,0.0115677,-0.988432,10.5862,3.14215,13.7284,0
RRR,JP-OV,1H,JP-OV_1H,SiO.el,16,33402,642127,0.0003,1,0,-1,0.000883897,-0.999116,0.509674,10.0529,10.5626,0
RRR,JP-OV,BF,JP-OV_BF,hamming10-4.el,16,1025,434176,0.1,1,84,0.0337415,0.0172552,0.0509967,0.0293255,6.63282,6.66215,9870
RRR,JP-OV,BF,JP-OV_BF,nasasrb.el,16,54871,1311227,0.0001,1,32,0.125652,0.0188657,0.144517,1.2559,20.4264,21.6823,700972
RRR,JP-OV,1H,JP-OV_1H,movielens-10m-noRatings.el,16,28139,170398,0.003,10,0,-1,0.00153071,-0.998469,1.50278,2.81475,4.31754,0
RRR,JP-OV,BF,JP-OV_BF,torso3.el,16,259157,734028,0.03,1,32,0.166846,0.0138158,0.180662,5.93163,13.1776,19.1092,146124
RRR,JP-OV,1H,JP-OV_1H,econ-beacxc.el,16,498,42175,1,489,0,-1,0.0400402,-0.95996,0.936562,0.647339,1.5839,0
